"habitat"	"plot"	"subplot"	"family"	"species"	"individuals_terrestrial_0.5m"	"individuals_terrestrial_1.5m"	"individuals_epiphytic_0.5m"	"individuals_epiphytic_1.5m"
"natural_forest"	"N1"	70	"Thelypteridaceae"	"Goniopteris_riograndensis"	0	4	0	0
"natural_forest"	"N1"	80	"Pteridaceae"	"Pteris_deflexa"	1	0	0	0
"natural_forest"	"N1"	80	"Dryopteridaceae"	"Megalastrum_oreocharis"	1	2	0	0
"natural_forest"	"N1"	80	"Dryopteridaceae"	"Polystichum_platylepis"	1	0	0	0
"natural_forest"	"N1"	80	"Aspleniaceae"	"Asplenium_sellowianum"	5	16	0	0
"natural_forest"	"N1"	80	"Thelypteridaceae"	"Goniopteris_riograndensis"	1	7	0	0
"natural_forest"	"N1"	80	"Pteridaceae"	"Doryopteris_pentagona"	1	0	0	0
"natural_forest"	"N1"	90	"Thelypteridaceae"	"Goniopteris_riograndensis"	4	1	0	0
"natural_forest"	"N1"	90	"Pteridaceae"	"Pteris_deflexa"	0	4	0	0
"natural_forest"	"N1"	90	"Aspleniaceae"	"Asplenium_sellowianum"	3	3	0	0
"natural_forest"	"N1"	90	"Thelypteridaceae"	"Amauropelta_recumbens"	0	3	0	0
"natural_forest"	"N1"	90	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N1"	100	"Blechnaceae"	"Blechnum_auriculatum"	0	2	0	0
"natural_forest"	"N1"	100	"Thelypteridaceae"	"Goniopteris_riograndensis"	7	6	0	0
"natural_forest"	"N1"	100	"Aspleniaceae"	"Asplenium_sellowianum"	1	5	0	0
"natural_forest"	"N1"	100	"Thelypteridaceae"	"Amauropelta_decurtata"	0	8	0	0
"natural_forest"	"N1"	100	"Pteridaceae"	"Pteris_deflexa"	0	1	0	0
"natural_forest"	"N1"	110	"Pteridaceae"	"Pteris_deflexa"	0	2	0	0
"natural_forest"	"N1"	110	"Thelypteridaceae"	"Amauropelta_decurtata"	6	10	0	0
"natural_forest"	"N1"	110	"Aspleniaceae"	"Asplenium_sellowianum"	1	2	5	0
"natural_forest"	"N1"	110	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	3
"natural_forest"	"N1"	120	"Aspleniaceae"	"Asplenium_sellowianum"	2	2	0	1
"natural_forest"	"N1"	120	"Cyatheaceae"	"Alsophila_setosa"	0	1	0	0
"natural_forest"	"N1"	120	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N1"	130	"Aspleniaceae"	"Asplenium_sellowianum"	3	11	0	2
"natural_forest"	"N1"	130	"Thelypteridaceae"	"Goniopteris_riograndensis"	0	3	0	0
"natural_forest"	"N1"	130	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N1"	140	"Aspleniaceae"	"Asplenium_sellowianum"	2	3	0	0
"natural_forest"	"N1"	140	"Thelypteridaceae"	"Goniopteris_riograndensis"	4	9	0	0
"natural_forest"	"N1"	140	"Pteridaceae"	"Pteris_deflexa"	0	2	0	0
"natural_forest"	"N1"	140	"Thelypteridaceae"	"Amauropelta_decurtata"	0	1	0	0
"natural_forest"	"N1"	150	"Pteridaceae"	"Pteris_deflexa"	0	1	0	0
"natural_forest"	"N1"	150	"Thelypteridaceae"	"Goniopteris_riograndensis"	1	2	0	0
"natural_forest"	"N1"	150	"Aspleniaceae"	"Asplenium_sellowianum"	5	12	0	0
"natural_forest"	"N2"	0	"Thelypteridaceae"	"Amauropelta_decurtata"	2	2	0	0
"natural_forest"	"N2"	0	"Dryopteridaceae"	"Polystichum_platylepis"	1	1	0	0
"natural_forest"	"N2"	10	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N2"	10	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N2"	10	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	2
"natural_forest"	"N2"	10	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	2	0	0
"natural_forest"	"N2"	10	"Aspleniaceae"	"Asplenium_sellowianum"	0	0	1	2
"natural_forest"	"N2"	10	"Dryopteridaceae"	"Polystichum_platylepis"	2	11	0	0
"natural_forest"	"N2"	10	"Thelypteridaceae"	"Amauropelta_decurtata"	1	4	0	0
"natural_forest"	"N2"	20	"Thelypteridaceae"	"Amauropelta_decurtata"	12	22	0	0
"natural_forest"	"N2"	20	"Dryopteridaceae"	"Polystichum_platylepis"	3	2	0	0
"natural_forest"	"N2"	20	"Dryopteridaceae"	"Ctenitis_submarginalis"	9	6	0	0
"natural_forest"	"N2"	20	"Aspleniaceae"	"Asplenium_sellowianum"	1	5	0	0
"natural_forest"	"N2"	20	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N2"	20	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N2"	30	"Thelypteridaceae"	"Amauropelta_decurtata"	10	46	0	0
"natural_forest"	"N2"	30	"Dryopteridaceae"	"Polystichum_platylepis"	6	8	0	0
"natural_forest"	"N2"	30	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	2	0	0
"natural_forest"	"N2"	30	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	1	0
"natural_forest"	"N2"	30	"Polypodiaceae"	"Pecluma_sicca"	0	0	10	0
"natural_forest"	"N2"	30	"Aspleniaceae"	"Asplenium_sellowianum"	1	0	0	0
"natural_forest"	"N2"	40	"Dryopteridaceae"	"Polystichum_platylepis"	4	2	0	0
"natural_forest"	"N2"	40	"Anemiaceae"	"Anemia_phyllitidis"	0	2	0	0
"natural_forest"	"N2"	40	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	2
"natural_forest"	"N2"	40	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	8	0	0
"natural_forest"	"N2"	40	"Aspleniaceae"	"Asplenium_sellowianum"	2	3	0	0
"natural_forest"	"N2"	40	"Aspleniaceae"	"Asplenium_gastonis"	0	0	1	4
"natural_forest"	"N2"	40	"Thelypteridaceae"	"Amauropelta_decurtata"	4	5	0	0
"natural_forest"	"N2"	40	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N2"	40	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	9
"natural_forest"	"N2"	50	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	5	0	0
"natural_forest"	"N2"	50	"Aspleniaceae"	"Asplenium_sellowianum"	3	7	0	0
"natural_forest"	"N2"	50	"Dryopteridaceae"	"Polystichum_platylepis"	1	1	0	0
"natural_forest"	"N2"	50	"Polypodiaceae"	"Pecluma_sicca"	0	0	0	17
"natural_forest"	"N2"	50	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N2"	50	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N2"	60	"Aspleniaceae"	"Asplenium_sellowianum"	1	0	0	2
"natural_forest"	"N2"	60	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	2
"natural_forest"	"N2"	60	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	7
"natural_forest"	"N2"	60	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	2	0	0
"natural_forest"	"N2"	60	"Dryopteridaceae"	"Polystichum_platylepis"	0	4	0	0
"natural_forest"	"N2"	60	"Polypodiaceae"	"Pecluma_sicca"	0	0	0	3
"natural_forest"	"N2"	70	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N2"	70	"Dryopteridaceae"	"Polystichum_platylepis"	3	8	0	0
"natural_forest"	"N2"	70	"Thelypteridaceae"	"Amauropelta_decurtata"	6	12	0	0
"natural_forest"	"N2"	70	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	12
"natural_forest"	"N2"	70	"Polypodiaceae"	"Pecluma_sicca"	0	0	0	10
"natural_forest"	"N2"	70	"Hymenophyllaceae"	"Didymoglossum_hymenoides"	0	0	0	9
"natural_forest"	"N2"	70	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	2
"natural_forest"	"N2"	80	"Dryopteridaceae"	"Polystichum_platylepis"	1	8	0	0
"natural_forest"	"N2"	80	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	2	0	0
"natural_forest"	"N2"	80	"Aspleniaceae"	"Asplenium_sellowianum"	10	6	2	4
"natural_forest"	"N2"	80	"Thelypteridaceae"	"Amauropelta_decurtata"	10	14	0	0
"natural_forest"	"N2"	80	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N2"	80	"Pteridaceae"	"Pteris_deflexa"	0	1	0	0
"natural_forest"	"N2"	90	"Aspleniaceae"	"Asplenium_sellowianum"	9	15	0	1
"natural_forest"	"N2"	90	"Dryopteridaceae"	"Polystichum_platylepis"	6	1	0	0
"natural_forest"	"N2"	90	"Dennstaedtiaceae"	"Mucura_tenera"	0	1	0	0
"natural_forest"	"N2"	90	"Thelypteridaceae"	"Amauropelta_decurtata"	5	0	0	0
"natural_forest"	"N2"	90	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	0	0	0
"natural_forest"	"N2"	100	"Aspleniaceae"	"Asplenium_sellowianum"	3	7	0	3
"natural_forest"	"N2"	100	"Polypodiaceae"	"Pecluma_sicca"	0	0	5	28
"natural_forest"	"N2"	100	"Dryopteridaceae"	"Polystichum_platylepis"	5	3	0	0
"natural_forest"	"N2"	100	"Pteridaceae"	"Pteris_deflexa"	0	1	0	0
"natural_forest"	"N2"	100	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N2"	100	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	1	4
"natural_forest"	"N2"	100	"Thelypteridaceae"	"Amauropelta_decurtata"	1	2	0	0
"natural_forest"	"N2"	110	"Aspleniaceae"	"Asplenium_sellowianum"	3	7	0	1
"natural_forest"	"N2"	110	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	5
"natural_forest"	"N2"	110	"Dryopteridaceae"	"Polystichum_platylepis"	1	7	0	0
"natural_forest"	"N2"	110	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	2	0
"natural_forest"	"N2"	120	"Dryopteridaceae"	"Polystichum_platylepis"	2	8	0	0
"natural_forest"	"N2"	120	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	0	0	0
"natural_forest"	"N2"	120	"Aspleniaceae"	"Asplenium_sellowianum"	1	8	0	1
"natural_forest"	"N2"	120	"Thelypteridaceae"	"Amauropelta_decurtata"	27	17	0	0
"natural_forest"	"N2"	120	"Cyatheaceae"	"Alsophila_setosa"	0	1	0	0
"natural_forest"	"N2"	120	"Blechnaceae"	"Blechnum_austrobrasilianum"	4	5	0	0
"natural_forest"	"N2"	120	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N2"	130	"Aspleniaceae"	"Asplenium_sellowianum"	3	19	1	4
"natural_forest"	"N2"	130	"Dryopteridaceae"	"Polystichum_platylepis"	4	8	0	0
"natural_forest"	"N2"	130	"Cyatheaceae"	"Alsophila_setosa"	0	1	0	0
"natural_forest"	"N2"	130	"Thelypteridaceae"	"Amauropelta_decurtata"	2	0	0	0
"natural_forest"	"N2"	140	"Dryopteridaceae"	"Polystichum_platylepis"	1	4	0	0
"natural_forest"	"N2"	140	"Aspleniaceae"	"Asplenium_gastonis"	0	0	0	1
"natural_forest"	"N2"	140	"Hymenophyllaceae"	"Didymoglossum_hymenoides"	0	10	0	0
"natural_forest"	"N2"	140	"Polypodiaceae"	"Pecluma_sicca"	0	0	4	25
"natural_forest"	"N2"	140	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	9
"natural_forest"	"N2"	140	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	1
"natural_forest"	"N2"	140	"Blechnaceae"	"Blechnum_austrobrasilianum"	9	12	0	0
"natural_forest"	"N2"	140	"Aspleniaceae"	"Asplenium_sellowianum"	1	1	0	1
"natural_forest"	"N2"	140	"Thelypteridaceae"	"Amauropelta_decurtata"	0	3	0	0
"natural_forest"	"N2"	140	"Dryopteridaceae"	"Ctenitis_submarginalis"	3	2	0	0
"natural_forest"	"N2"	150	"Hymenophyllaceae"	"Didymoglossum_hymenoides"	0	0	0	5
"natural_forest"	"N2"	150	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	8
"natural_forest"	"N2"	150	"Blechnaceae"	"Blechnum_austrobrasilianum"	1	2	0	0
"natural_forest"	"N2"	150	"Dryopteridaceae"	"Polystichum_platylepis"	0	7	0	0
"natural_forest"	"N2"	150	"Aspleniaceae"	"Asplenium_sellowianum"	1	0	0	1
"natural_forest"	"N2"	150	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	0	0	0
"natural_forest"	"N2"	150	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	0
"natural_forest"	"N3"	0	"Aspleniaceae"	"Asplenium_sellowianum"	1	0	0	0
"natural_forest"	"N3"	0	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
"natural_forest"	"N3"	0	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	2	0	0
"natural_forest"	"N3"	10	"Aspleniaceae"	"Asplenium_sellowianum"	0	2	0	0
"natural_forest"	"N3"	10	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N3"	20	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	2	3
"natural_forest"	"N3"	20	"Aspleniaceae"	"Asplenium_sellowianum"	0	1	0	0
"natural_forest"	"N3"	20	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N3"	30	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	2	1
"natural_forest"	"N3"	30	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N3"	30	"Polypodiaceae"	"Campyloneurum_austrobrasilianum"	0	0	1	1
"natural_forest"	"N3"	40	"Pteridaceae"	"Doryopteris_pentagona"	2	2	0	0
"natural_forest"	"N3"	40	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N3"	40	"Aspleniaceae"	"Asplenium_sellowianum"	0	2	0	0
"natural_forest"	"N3"	40	"Anemiaceae"	"Anemia_phyllitidis"	3	0	0	0
"natural_forest"	"N3"	50	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N3"	50	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	2	1
"natural_forest"	"N3"	50	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N3"	50	"Polypodiaceae"	"Pecluma_sicca"	0	0	1	0
"natural_forest"	"N3"	50	"Blechnaceae"	"Blechnum_austrobrasilianum"	1	8	0	0
"natural_forest"	"N3"	50	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	3	0	0
"natural_forest"	"N3"	50	"Thelypteridaceae"	"Amauropelta_decurtata"	0	3	0	0
"natural_forest"	"N3"	50	"Blechnaceae"	"Neoblechnum_brasiliense"	1	0	0	0
"natural_forest"	"N3"	60	"Pteridaceae"	"Doryopteris_pentagona"	1	0	0	0
"natural_forest"	"N3"	60	"Anemiaceae"	"Anemia_phyllitidis"	2	4	0	0
"natural_forest"	"N3"	60	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	0
"natural_forest"	"N3"	70	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	2
"natural_forest"	"N3"	70	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N3"	80	"Anemiaceae"	"Anemia_phyllitidis"	0	2	0	0
"natural_forest"	"N3"	80	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	0	0	0
"natural_forest"	"N3"	90	"Thelypteridaceae"	"Christella_dentata"	0	1	0	0
"natural_forest"	"N3"	90	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
"natural_forest"	"N3"	90	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	0
"natural_forest"	"N3"	90	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N3"	100	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	1
"natural_forest"	"N3"	100	"Aspleniaceae"	"Asplenium_sellowianum"	1	2	0	0
"natural_forest"	"N3"	100	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
"natural_forest"	"N3"	100	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	1	0
"natural_forest"	"N3"	110	"Pteridaceae"	"Doryopteris_concolor"	0	2	0	0
"natural_forest"	"N3"	110	"Aspleniaceae"	"Asplenium_sellowianum"	0	3	0	0
"natural_forest"	"N3"	110	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	1	0
"natural_forest"	"N3"	120	"Aspleniaceae"	"Asplenium_sellowianum"	5	0	0	0
"natural_forest"	"N3"	120	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N3"	120	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	0	0	0
"natural_forest"	"N3"	130	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N3"	140	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N3"	140	"Aspleniaceae"	"Asplenium_sellowianum"	0	0	0	1
"natural_forest"	"N3"	140	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N3"	150	"Aspleniaceae"	"Asplenium_sellowianum"	0	2	0	0
"natural_forest"	"N3"	150	"Polypodiaceae"	"Campyloneurum_nitidum"	0	2	0	1
"natural_forest"	"N3"	150	"Blechnaceae"	"Blechnum_auriculatum"	2	1	0	0
"natural_forest"	"N3"	150	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N4"	0	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
"natural_forest"	"N4"	0	"Dryopteridaceae"	"Polystichum_platylepis"	0	2	0	0
"natural_forest"	"N4"	0	"Aspleniaceae"	"Asplenium_sellowianum"	7	4	0	1
"natural_forest"	"N4"	0	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	2	0	0
"natural_forest"	"N4"	10	"Dryopteridaceae"	"Polystichum_platylepis"	1	0	0	0
"natural_forest"	"N4"	10	"Polypodiaceae"	"Pleopeltis_hirsutissima"	0	0	0	2
"natural_forest"	"N4"	10	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N4"	10	"Aspleniaceae"	"Asplenium_sellowianum"	0	7	0	0
"natural_forest"	"N4"	10	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	5	0	0
"natural_forest"	"N4"	20	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	5	18
"natural_forest"	"N4"	20	"Dryopteridaceae"	"Polystichum_platylepis"	1	0	0	0
"natural_forest"	"N4"	20	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	8	0	0
"natural_forest"	"N4"	20	"Pteridaceae"	"Doryopteris_pentagona"	1	4	0	0
"natural_forest"	"N4"	20	"Aspleniaceae"	"Asplenium_sellowianum"	1	7	0	0
"natural_forest"	"N4"	20	"Thelypteridaceae"	"Amauropelta_recumbens"	0	4	0	0
"natural_forest"	"N4"	20	"Polypodiaceae"	"Pleopeltis_hirsutissima"	0	0	0	1
"natural_forest"	"N4"	30	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	4	7
"natural_forest"	"N4"	30	"Thelypteridaceae"	"Amauropelta_recumbens"	9	24	0	0
"natural_forest"	"N4"	30	"Dryopteridaceae"	"Polystichum_platylepis"	2	2	0	0
"natural_forest"	"N4"	30	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	3
"natural_forest"	"N4"	30	"Aspleniaceae"	"Asplenium_sellowianum"	1	8	0	0
"natural_forest"	"N4"	30	"Dryopteridaceae"	"Ctenitis_submarginalis"	10	19	0	0
"natural_forest"	"N4"	40	"Aspleniaceae"	"Asplenium_sellowianum"	2	13	0	1
"natural_forest"	"N4"	40	"Dryopteridaceae"	"Polystichum_platylepis"	1	3	0	0
"natural_forest"	"N4"	40	"Thelypteridaceae"	"Amauropelta_recumbens"	3	17	0	0
"natural_forest"	"N4"	40	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	5
"natural_forest"	"N4"	40	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	0	0	0
"natural_forest"	"N4"	50	"Dryopteridaceae"	"Ctenitis_submarginalis"	1	2	0	0
"natural_forest"	"N4"	50	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N4"	50	"Aspleniaceae"	"Asplenium_sellowianum"	4	8	0	0
"natural_forest"	"N4"	60	"Aspleniaceae"	"Asplenium_sellowianum"	1	12	0	1
"natural_forest"	"N4"	60	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	1	1
"natural_forest"	"N4"	60	"Pteridaceae"	"Doryopteris_pentagona"	0	0	0	1
"natural_forest"	"N4"	60	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	1	0	0
"natural_forest"	"N4"	60	"Thelypteridaceae"	"Amauropelta_recumbens"	0	1	0	0
"natural_forest"	"N4"	70	"Dryopteridaceae"	"Ctenitis_submarginalis"	3	13	0	0
"natural_forest"	"N4"	70	"Aspleniaceae"	"Asplenium_sellowianum"	3	2	0	0
"natural_forest"	"N4"	70	"Pteridaceae"	"Pteris_deflexa"	0	1	0	0
"natural_forest"	"N4"	70	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	4	0
"natural_forest"	"N4"	80	"Polypodiaceae"	"Pleopeltis_hirsutissima"	0	0	0	1
"natural_forest"	"N4"	80	"Polypodiaceae"	"Pecluma_sicca"	1	0	0	0
"natural_forest"	"N4"	80	"Dennstaedtiaceae"	"Mucura_tenera"	0	1	0	0
"natural_forest"	"N4"	80	"Aspleniaceae"	"Asplenium_sellowianum"	4	5	0	0
"natural_forest"	"N4"	80	"Dryopteridaceae"	"Polystichum_platylepis"	1	1	0	0
"natural_forest"	"N4"	90	"Aspleniaceae"	"Asplenium_sellowianum"	5	11	0	1
"natural_forest"	"N4"	90	"Dryopteridaceae"	"Ctenitis_submarginalis"	2	0	0	0
"natural_forest"	"N4"	90	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	5
"natural_forest"	"N4"	100	"Aspleniaceae"	"Asplenium_sellowianum"	8	7	0	2
"natural_forest"	"N4"	100	"Dryopteridaceae"	"Ctenitis_submarginalis"	0	0	0	2
"natural_forest"	"N4"	110	"Dryopteridaceae"	"Ctenitis_submarginalis"	4	6	0	0
"natural_forest"	"N4"	110	"Aspleniaceae"	"Asplenium_sellowianum"	1	5	0	0
"natural_forest"	"N4"	110	"Anemiaceae"	"Anemia_phyllitidis"	0	1	0	0
"natural_forest"	"N4"	110	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	1
"natural_forest"	"N4"	120	"Aspleniaceae"	"Asplenium_sellowianum"	3	0	0	1
"natural_forest"	"N4"	120	"Dryopteridaceae"	"Ctenitis_submarginalis"	5	5	0	0
